type,date,title,publication,co_authors,topics,url
Article,2021-03-25,Build your own brand detection and visibility using SageMaker Ground Truth and Rekognition Custom Labels (Part 1),AWS Machine Learning Blog,"Amit Mukherjee; Woody Borraccino","Computer Vision; Brand Analytics",https://aws.amazon.com/blogs/machine-learning/building-your-own-brand-detection-and-visibility-using-amazon-sagemaker-ground-truth-and-amazon-rekognition-custom-labels-part-1-end-to-end-solution/
Article,2021-03-08,Query an Apache Hudi dataset in an Amazon S3 data lake with Amazon Athena (Part 1: Read-optimized queries),AWS Big Data Blog,"Dhiraj Thakur; Vinod Jayendra","Apache Hudi; Athena",https://aws.amazon.com/blogs/big-data/part-1-query-an-apache-hudi-dataset-in-an-amazon-s3-data-lake-with-amazon-athena-part-1-read-optimized-queries/
Article,2021-02-11,Field Notes: Applying Machine Learning to Vegetation Management using Amazon SageMaker,AWS Architecture Blog,Karthik Sonti,"Sustainability; SageMaker",https://aws.amazon.com/blogs/architecture/field-notes-applying-machine-learning-to-vegetation-management-using-amazon-sagemaker/
Article,2020-12-09,Performing canary deployments for service integrations with Amazon API Gateway,AWS Compute Blog,Saurabh Shrivastava,"API Gateway; DevOps",https://aws.amazon.com/blogs/compute/performing-canary-deployments-for-service-integrations-with-amazon-api-gateway/
Article,2020-11-19,Building a real-time notification system with Kinesis Data Streams for DynamoDB and Kinesis Data Analytics for Apache Flink,AWS Big Data Blog,Saurabh Shrivastava,"Streaming; Apache Flink",https://aws.amazon.com/blogs/big-data/building-a-real-time-notification-system-with-amazon-kinesis-data-streams-for-amazon-dynamodb-and-amazon-kinesis-data-analytics-for-apache-flink/
Article,2020-09-23,How to create an Expense Tracking App without coding using Amazon Honeycode,AWS Business Productivity Blog,Dhiraj Thakur,"No-Code; Honeycode",https://aws.amazon.com/blogs/business-productivity/how-to-create-an-expense-tracking-app-without-coding-using-amazon-honeycode/
Article,2020-08-25,Transforming the Traveling Experience with Accenture 5G Smart Airport Assistant and Amazon AR/VR,AWS Partner Network Blog,Andre Andree,"5G; AR/VR; Partner",https://aws.amazon.com/blogs/apn/transforming-the-traveling-experience-with-accenture-5g-smart-airport-assistant-and-amazon-ar-vr/
Article,2020-08-12,Using machine learning to support healthcare during a pandemic,AWS Marketplace Blog,Cherrelle Brown,"Healthcare; SageMaker",https://aws.amazon.com/blogs/awsmarketplace/using-machine-learning-to-support-healthcare-during-a-pandemic/
Article,2018-04-05,Analyze and visualize your VPC network traffic using Amazon Kinesis and Amazon Athena,AWS Big Data Blog,Saurabh Shrivastava,"Networking; Kinesis",https://aws.amazon.com/blogs/big-data/analyze-and-visualize-your-vpc-network-traffic-using-amazon-kinesis-and-amazon-athena/
LinkedIn post,2025,"""Is AI thinking like a human?"" is a trap. We project our own image onto these systems",LinkedIn,,"AI Philosophy; Consciousness",https://www.linkedin.com/feed/update/urn:li:activity:7407790058516332544/
LinkedIn post,2025,Is GenAI just glorified auto-complete? Why Anthropic hires neuroscientists,LinkedIn,,"Interpretability; Hallucinations",https://www.linkedin.com/feed/update/urn:li:activity:7407338781382479872/
LinkedIn post,2024,"""Our future is a race between the growing power of technology and the wisdom with which we use it.""",LinkedIn,,"Mindfulness; Ethics",https://www.linkedin.com/feed/update/urn:li:activity:7310639180668162048/
LinkedIn post,2024,Do you agree that it's a time to be more MINDFUL than ever before?,LinkedIn,,Mindfulness,https://www.linkedin.com/feed/update/urn:li:activity:7310239050186014721/
LinkedIn post,2024,Inner Intelligence is like a fine-tuned transformer model. Meditation is our pre-training.,LinkedIn,,"AI Metaphor; Consciousness",https://www.linkedin.com/feed/update/urn:li:activity:7309843775638458369/
LinkedIn post,2024,The question is not how intelligent AI can become but how deeply humans continue to think alongside it.,LinkedIn,,"Human-AI; Critical Thinking",https://www.linkedin.com/feed/update/urn:li:activity:7305517283798405120/
LinkedIn post,2024,Practice Mindful Prompting with GenAI to cultivate long-term Inner Intelligence.,LinkedIn,,"Mindful AI; Prompting",https://www.linkedin.com/feed/update/urn:li:activity:7305235836311138304/
LinkedIn post,2024,7 self-reflection prompts for using AI mindfully,LinkedIn,,"Mindful AI; Prompts",https://www.linkedin.com/feed/update/urn:li:activity:7299197835600691201/
LinkedIn post,2024,My Life in a Nutshell with GenAI,LinkedIn,,"Personal; AI Journey",https://www.linkedin.com/feed/update/urn:li:activity:7297595264167493632/
LinkedIn post,2024,8 Self-Reflection Prompts to check your Awareness Level,LinkedIn,,"Self-Awareness; Prompts",https://www.linkedin.com/feed/update/urn:li:activity:7297524527415128064/
LinkedIn post,2024,Consciousness is like WiFi. You're aware it exists but no one really knows how it works.,LinkedIn,,"Consciousness; Metaphor",https://www.linkedin.com/feed/update/urn:li:activity:7295841100957708288/
LinkedIn post,2024,Mental Health issues on the rise: here is how you can protect yourself,LinkedIn,,"Mental Health; Wellbeing",https://www.linkedin.com/feed/update/urn:li:activity:7295833462115106817/
LinkedIn post,2024,13 habits that destroy emotional intelligence,LinkedIn,,"Emotional Intelligence; Self-Awareness",https://www.linkedin.com/feed/update/urn:li:activity:7295832779169120256/
Book,,Cultivate Inner Intelligence using Artificial Intelligence,Self-published,,"Inner Intelligence; Artificial Intelligence; Mindfulness",https://updatemind.space/bookreader.html
Speaking,2025,Emotional Intelligence in the AI Era,PSA Madrid Offsite,,"Speaker; Madrid Spain",https://sameer-publicspeaker.pages.dev/
Speaking,2025,AI Coding Days VibeCoding Hackathon - AI-powered SDLC architecture keynote,Accenture,,"Keynote; Infra Genius Award",https://sameer-publicspeaker.pages.dev/
Speaking,2025,Amazon Mindfulness Session - breathwork instruction,Amazon,,"Instructor; Mindfulness",https://sameer-publicspeaker.pages.dev/
Speaking,2022,Data Science Rotterdam Meetup - active model training and computer vision demos,Data Science Rotterdam,,"Speaker; Rotterdam Netherlands",https://sameer-publicspeaker.pages.dev/
Speaking,2018,Co-op Panel - Solutions Architect career path,Northeastern University Seattle,,"Panelist; Seattle USA",https://sameer-publicspeaker.pages.dev/
Speaking,2011,SAP HANA podium talk,Accenture Bangalore,,"Speaker; Bangalore India",https://sameer-publicspeaker.pages.dev/
Event,2022,AWS Summit Stockholm - AI/ML booth and DeepRacer league,AWS,,"Stockholm Sweden",https://sameer-publicspeaker.pages.dev/
Event,2019,AWS re:Invent - caching architecture session,AWS,,"Las Vegas USA",https://sameer-publicspeaker.pages.dev/
Event,2019,DeepRacer Event,Deloitte Toronto,,"Toronto Canada",https://sameer-publicspeaker.pages.dev/
Event,2018,AWS Summit New York,AWS,,"New York USA",https://sameer-publicspeaker.pages.dev/
Event,2015,Brainnovation BrainWaves neuroscience event,Brainnovation,,"Boston USA",https://sameer-publicspeaker.pages.dev/
